id,source_text,humanised_text,source_score,humanised_score,config_used,notes
,,,,,,
cr01_cpy,"The moonlight spilled across the ruined citadel, silvering its jagged stones as though trying to mend them with light. Once a proud fortress, now it slumbered in silence, its broken towers leaning like weary sentinels. Moss crept stubbornly through every crack, covering scars of forgotten battles. The air shimmered faintly, carrying a low, persistent hum, the echo of old spells still bound to the walls. Birds would not perch there, and even the wind seemed reluctant to stir, as if the ruins themselves resented disturbance. Yet for those who lingered too long, the hum grew louder, almost intelligible, as though voices from another age pressed against the veil of time. Many travelers claimed the citadel whispered promises of power, but none who entered its shadowed halls returned unchanged.","The moonlight spilled across the ruined citadel, silvering its jagged stones as though trying to mend them with light. Formerly a proud fortress, now it slumbered in silence, its broken towers leaning like weary sentinels. Moss crept stubbornly through every crack, covering scars of forgotten battles. The air shimmered faintly, carrying a low, persistent hum. The echo of old spells, basically, still bound to the walls. Birds would not perch there. And even the wind seemed reluctant to stir, as if the ruins themselves resented disturbance. Yet for those who lingered too long, the hum grew louder, almost intelligible. As though voices from another age pressed against the veil of time. Many travelers claimed the citadel whispered promises of power, but none who entered its shadowed halls returned unchanged.?",100,69,,nothing much changd
cr02_cpy,"At the heart of the forest, the trees leaned close, their ancient trunks twisted into impossible shapes, as though conspiring in silence. High above, their branches knotted into cathedral arches that filtered the moonlight into trembling shards. Strange motes of gold drifted between the roots and ferns, pulsing like fireflies, though their glow seemed almost alive, as if each carried a secret older than the forest itself. The air was thick with the scent of moss and the distant sweetness of unseen blooms. Here, sound bent strangely?footsteps echoed as whispers, and whispers echoed as roars. Travelers often felt unseen eyes watching them, though no creature stirred in the undergrowth. Those who dared linger swore they heard a language in the rustling leaves, a tongue half-forgotten but heavy with warning.","At the heart of the forest, the trees leaned closely, their ancient trunks twisted into impossible shapes. As though conspiring in silence. High above, their branches knotted into cathedral arches that filtered the moonlight into trembling shards. Strange motes of gold drifted between the roots and ferns, pulsing like fireflies. Though their glow seemed almost alive, as if each carried a secret older than the forest itself. The air was thick with the scent of moss and the distant sweetness of unobserved blooms. Here, sound bent strangely? footsteps, actually, echoed as whispers, and whispers echoed as roars. Travelers often felt unobserved eyes watching them, though no creature stirred in the undergrowth. Those who dared linger swore they heard a language in the rustling leaves. A tongue half-forgotten but heavy with warning.? ",100,56,,
cr03_cpy,"The river gleamed with glassy stillness beneath the velvet sky, its waters reflecting no stars, as if the heavens themselves were forbidden there. Instead, a faint, eerie glow seeped upward from its depths, illuminating the bank with a color that had no name. Shadows moved languidly beneath the surface?vast, scaled forms that glided with patient grace. Their eyes, faintly luminous, flickered like lanterns in the dark. Occasionally, a ripple disturbed the silence, spreading out in perfect circles, only to vanish as though swallowed by an unseen hand. The forest creatures gave the river wide berth, and even the boldest hunters dared not cast a line. For the stories said that what lived below had waited centuries, dreaming in the depths, and that one day, the silence above would break?and the dreamers would rise.","The river gleamed with glassy stillness beneath the velvet sky, its waters reflecting no stars. As if the heavens themselves were forbidden there. Rather, a feeble, eerie glow seeped upward from its depths. Illuminating the bank with a color that had no name. Shadows moved languidly beneath the surface? vast, scaled forms that glided with patient grace. Truthfully, their eyes, faintly luminous, flickered like lanterns in the dark. Occasionally, a ripple disturbed the silence, spreading out in perfect circles. Only to vanish as though swallowed by an unseen hand. The forest creatures gave the river wide berth, and even the boldest hunters dared not cast a line. For the stories said that what lived below had waited centuries, dreaming in the depths. And that one day, the silence above would break? and the dreamers would rise.?",100,0,,eh 
cr04_cpy,"A single tower jutted defiantly from the cliffs, carved of obsidian so dark it seemed to drink the very starlight. From its peak, a violet flame burned?not flickering, but pulsing steady as a heartbeat, casting strange ripples of light across the restless sea below. The water shimmered with hues it had no right to bear, streaks of crimson and emerald twisting across the waves like veins of fire. Sailors told of a pull in their chests when they passed too near, a tug that urged them toward the shore whether they wished it or not. Some ships never returned, swallowed in the tower?s shadow. Others limped home, their crews hollow-eyed, speaking of voices carried on the wind, urging them closer, closer, until they nearly leapt into the sea themselves.","A single tower jutted rebelliously from the cliffs, carved of obsidian thus dark it seemed to drink the very starlight. From its peak, a violet flame burned? not flickering. But pulsing steady as a heartbeat, casting strange ripples of light across the restless sea below, basically. The water shimmered with hues it had no right to bear. Streaks of crimson and emerald twisting across the waves like veins of fire. Sailors told of a pull in their chests when they passed too near. A tug that urged them toward the shore whether they wished it or not. Some ships never returned, swallowed in the tower? s shadow. Others limped home, their crews hollow-eyed. Speaking of voices carried on the wind, urging them closer, closer. Until they nearly leapt into the sea themselves.?",100,20,,
cr05_cpy,"The marketplace was alive with colors too vivid for the waking world. Scarlet banners fluttered though no wind stirred, each one stitched with runes that shimmered faintly, as if alive. Crystal fruits rested in pyramids upon carved ivory tables, glowing softly from within; when touched, they released a gentle song, a chorus of notes that lingered in the air. Merchants in flowing robes called to passersby, their faces shifting with each glance?sometimes human, sometimes animal, sometimes little more than a flickering mask of smoke. Strange creatures wandered freely: winged hounds, serpents crowned with feathers, even shadows that walked without masters. The air smelled of spices too sharp for mortal tongues and metals too sweet to name. Few outsiders left empty-handed, but many discovered later that their purchases whispered in the dark of their rooms.","The marketplace was active with colors overly vivid for the waking world. Red banners fluttered though no wind stirred, each one stitched with runes that shimmered faintly, as if active. Crystal fruits rested in pyramids upon carved ivory tables, glowing softly from within; when touched. They released a gentle song, a chorus of notes that lingered in the air. Merchants in flowing robes called to passersby, their faces shifting with each glance? sometimes human. Sometimes animal, sometimes little more than a flickering mask of smoke. Frankly, strange creatures wandered freely: winged hounds, serpents crowned with feathers, even shadows that walked without masters. The air smelled of spices also sharp for mortal tongues and metals overly sweet to name. Few outsiders left empty-handed, but many discovered later that their purchases whispered in the dark of their rooms.?",100,0,,"wronf splitting ( when touched. They released a gentle song, a chorus of notes that lingered in the air. )"
cr06_cpy,"The canyon stretched wide and endless, its walls carved with symbols no hand could have etched. Each mark glowed faintly when the sun dipped, filling the gorge with a light that pulsed like breathing. The air was dry, heavy with the scent of stone and something sharper—ozone, perhaps, or the tang of lightning trapped in the rock. Travelers spoke of voices rising from the depths at dusk, calling names that no living soul bore. Sometimes the echoes took form: shapes of smoke and shadow flickering along the walls, mimicking those who dared enter. The brave claimed the canyon was alive, ancient and hungry, remembering every footstep upon its floor. The wise kept their distance, for the gorge was not just a place, but a listener—and every secret spoken there was never truly gone.","Truthfully, the canyon stretched widely and endless, its walls carved with symbols no hand could have etched. Each mark glowed faintly when the sun dipped, filling the gorge with a light that pulsed like breathing. The air was dry, heavy with the scent of stone and something sharper—ozone, perhaps. Or the tang of lightning trapped in the rock. Travelers spoke of voices rising from the depths at dusk, calling names that no living soul bore. Sometimes the echoes took form: shapes of smoke and shadow flickering along the walls, mimicking those who dared enter. The brave claimed the canyon was alive, ancient and hungry, remembering every footstep upon its floor. The wise kept their distance, for the gorge was not just a place. But a listener—and every secret spoken there was never truly gone.?",100,79,,I feel like most of these rewrites lack burstiness and perplexity
cr07_cpy,"High above the plains rose a bridge of pale stone, arching from one cliff to another as though spun by giants. No mortar bound its pieces, yet it had endured countless storms, standing perfect against the sky. The stones themselves shone faintly in moonlight, revealing veins of silver that pulsed like rivers beneath the surface. Beneath the bridge lay nothing but mist, a shifting sea of white that swallowed sound and devoured sight. Some said it hid a kingdom, others, a graveyard of fallen stars. When the wind howled through the arches, it carried harmonies too perfect for chance, as though the bridge itself was a harp strung by divine hands. Few dared cross, for midway the stones seemed to shift, lengthening the path, keeping wanderers between worlds for longer than they intended.","High above the plains rose a bridge of pale stone, actually. Arching from one cliff to another as though spun by giants. No mortar bound its pieces, yet it had endured countless storms, standing perfect against the sky. The stones themselves shone faintly in moonlight, revealing veins of silver that pulsed like rivers beneath the surface. Beneath the bridge lay nothing but mist, a shifting sea of white that swallowed sound and devoured sight. Some said it hid a kingdom, others, a graveyard of fallen stars. When the wind howled through the arches, it carried harmonies too perfect for chance. As though the bridge itself was a harp strung by divine hands. Few dared cross. For midway the stones seemed to shift, lengthening the path, keeping wanderers between worlds for longer than they intended.?",100,92,,meh
cr08_cpy,"The desert was not silent, though it seemed so at first. Beneath its endless dunes, a rhythm throbbed faintly, like the heartbeat of the earth itself. At night, the sands glittered with shards of glass, catching the starlight in hues of violet and gold, as though the ground itself remembered fire. Nomads told stories of buried cities that stirred in their sleep, their towers rising and sinking with the shifting dunes. Travelers swore the horizon sometimes bent, reshaping itself into walls, gates, or statues that melted back into sand when approached. Strange winds carried voices across the expanse—languages no one recognized but everyone understood. Those who listened too long often wandered aimlessly, chasing mirages that grew sharper with every step, until the sand swallowed them whole, leaving only footprints that glowed faintly in the moonlight.","The desert was not silent, though it seemed then at first. Beneath its endless dunes, a rhythm throbbed faintly, like the heartbeat of the earth itself. At night, the sands glittered with shards of glass, catching the starlight in hues of violet and gold. As though the ground itself remembered fire. Nomads told stories of buried cities that stirred in their sleep, their towers rising and sinking with the shifting dunes. Travelers swore the horizon sometimes bent, reshaping itself into walls, gates, truthfully. Or statues that melted back into sand when approached. Strange winds carried voices across the expanse—languages no one recognized but everyone understood. Those who listened too long often wandered aimlessly, chasing mirages that grew sharper with every step. Until the sand swallowed them whole, leaving only footprints that glowed faintly in the moonlight.?",100,100,,idts anything changed
cr09_cpy,"The mountain rose higher than clouds, its peak forever crowned in storms. Lightning danced across its jagged ridges, illuminating caverns carved into the stone like watchful eyes. The air near its base was thick with the scent of pine and rain, yet as one climbed, the world grew eerily still. No bird circled its slopes, and no animal lingered near its roots. Travelers told of paths that twisted back upon themselves, leading climbers in circles until despair set in. At night, fires burned on the summit, visible even through the storm—cold flames of sapphire and green, flickering as though calling to the daring. Some believed the mountain housed gods in exile, chained to its heart by their own pride. Others whispered of something older, something that had been waiting beneath the stone since time began.",no output,100,,,"what might be the issue of script not returning anything it just runs and runs and runs, also isnt the script made to stop recurssion after 5 times?"
cr10_cpy,"The library stood at the edge of the city, older than the streets that surrounded it, older than the city itself. Its gates were wrought of black iron, twisted into shapes that seemed to shift when stared at too long. Inside, the shelves stretched endlessly upward, vanishing into a darkness no candle could pierce. The air was rich with dust, parchment, and ink, yet also with something heavier—like the weight of thoughts too vast for human minds. Books whispered when unopened, their voices weaving together in a thousand conversations. Some volumes glowed faintly, others wept ink that pooled on the floor. Scholars entered seeking wisdom, but not all left with sanity intact. It was said the library remembered every reader, and that the more one learned, the more the library learned in return. ","The library stood at the edge of the city, older than. The streets that surrounded it, older than the city itself. Its gates were wrought of black iron, twisted into shapes that seemed to shift when stared at overly long. Inside, the shelves stretched endlessly upward, vanishing into a darkness no candle could pierce, basically. The air was rich with dust, parchment. And ink, yet also with something heavier—like the weight of thoughts overly vast for human minds. Books whispered when unopened, their voices weaving together in a thousand conversations. Some volumes glowed faintly, others wept ink that pooled on the floor. Scholars entered seeking wisdom, but not all left with sanity intact. It was said the library remembered every reader. And that the more one learned, the more the library learned in return.?",100,0,,"wrong fullstops (he city, older than. The stree),(parchment. And ink, )"
